monitored and supported by local public health authorities.",https://www.canada.ca/en/public-health/news/2026/05/speaking-remarks-for-the-chief-public-health-officer.html
2026-05-11,"An additional 19 crew members, six passengers, and two public health experts and one physician (who was replaced by a Dutch nurse on board) were repatriated by flight to the Netherlands. Further repatriation for non-Dutch citizens was arranged where possible, while Dutch passengers initiated their quarantine period at home. ",https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2026.31.24.2600477
2026-05-11,"Cases 9-13 (Gh_ID 15, 18, 20, 23, 24) were passengers or crew repatriated on May 10 or 11. Cases 9-11 developed symptoms after repatriation and subsequently tested positive for ANDV by laboratory testing. Cases 12 and 13 tested positive for ANDV by laboratory testing before developing symptoms. ",https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2026.31.24.2600477
2026-05-11,"Radboudumc reports that twelve staff members have been placed in preventive quarantine. At the time of admission, Case 6 (Gh_ID7) had their blood drawn. The blood was then processed using the standard procedure. Due to the nature of the virus, the blood should have been processed using a stricter procedure. Additionally, the patients urine was not properly disposed of according to up-to-date international regulations. Because of these instances, the employees were placed in quarantine for six weeks as a precaution, despite the chance of infection being small. ",https://www.radboudumc.nl/en/news-items/2026/radboudumc-admits-patient-with-a-suspected-hantavirus-infection
2026-05-11,Two Americans (a couple) were later flown to Atlanta and are in isolation at Emory University. The biocontainment unit in Nebraska does not have capacity for all 18 passengers so two people were proactively moved to Atlanta. One person is reportedly symptomatic but tested negative.,https://dph.georgia.gov/press-releases/2026-05-11/two-individuals-being-transported-emory-universitys-serious-communicable
2026-05-11,WHO recommended that State Parties communicate to WHO about the nubmer and health status of high-risk and low-risk contacts being monitored and details of measure adopted for monitoring of high- and low-risk contacts in their jurisdiction.,https://www.who.int/publications/m/item/who-rapid-risk-assessment---hantavirus-outbreak-caused-by-andes-virus--global-v.2
2026-05-11,"The French health minister reported that Case 9 (Gh_ID15) had worsening symptoms overnight and tested positive, and is in serious condition. They are currently hospitalized in isolation within the REB (Risque Epidémique et Biologique) health facility. Twenty-two close contacts of this case have been identified. ",https://www.theguardian.com/world/2026/may/11/evacuated-us-and-french-mv-hondius-cruise-ship-passengers-test-positive-for-hantavirus
2026-05-11,South African health authorities said on Monday that the condition of a British man [Case 3 (Gh_ID3)] admitted to a hospital in Johannesburg and being treated for hantavirus was gradually improving. He was previously evacuated from the ship on April 27 after becoming ill.,https://www.cbc.ca/news/world/hantavirus-cruise-ship-evacuation-9.7194723
2026-05-11,"South African health minster reports that 90 contacts have been identified in South Africa and will be monitored for six weeks. Of the 90 contacts, one is currently showing flu-like symptoms but has tested negative for hantavirus.  ",https://x.com/SABCNews/status/2053733113113547047
2026-05-11,"Oceanwide Expeditions confirmed that all guests and a limited number of crew members had been successfully transferred from the MV Hondius. In all, it said 35 crew and 87 guests were being repatriated to their home countries, while 25 crew members and two medical professionals remained on board to accompany the ship back to the Netherlands. The MV Hondius has set sail from Tenerife following the conclusion of a carefully managed evacuation operation. The journey to Rotterdam, Netherlands is expected to take 5 days.  ",https://www.cbc.ca/news/world/hantavirus-cruise-ship-evacuation-9.7194723
2026-05-11,"California Department of Public Health (CDPH) confirms four Californians are being monitored for ANDV exposure related to the cruise ship. Three of the individuals were aboard the cruise ship and the fourth was on an international flight sitting near an ill returning cruise passenger who later was confirmed to have ANDV. Two individuals have returned to their homes and are being monitored, and the other two California residents were part of the US disembarcation and evacuation to Nebraska.",https://www.cdph.ca.gov/Programs/OPA/Pages/NR26-019.aspx
